103.237.87.19 - - [02/Nov/2023:08:28:04 +0100] "GET /leaf.php HTTP/1.1" 404 214 "-" "Mozilla/5.0 (Linux; Android 11; M2010J19SI) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Mobile Safari/537.36" "-"
103.237.87.19 - - [02/Nov/2023:08:28:04 +0100] "GET /mailer.php HTTP/1.1" 404 216 "-" "Mozilla/5.0 (Linux; Android 11; M2010J19SI) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Mobile Safari/537.36" "-"
103.237.87.19 - - [02/Nov/2023:08:28:05 +0100] "GET /leafmailer.php HTTP/1.1" 404 220 "-" "Mozilla/5.0 (Linux; Android 11; M2010J19SI) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Mobile Safari/537.36" "-"
103.237.87.19 - - [02/Nov/2023:08:28:06 +0100] "GET /leafmailer2.8.php HTTP/1.1" 404 223 "-" "Mozilla/5.0 (Linux; Android 11; M2010J19SI) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Mobile Safari/537.36" "-"
3.254.39.232 - - [02/Nov/2023:08:29:35 +0100] "GET /robots.txt HTTP/1.1" 200 304 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36" "-"
3.254.39.232 - - [02/Nov/2023:08:29:38 +0100] "GET / HTTP/1.1" 200 10439 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36" "-"
3.254.39.232 - - [02/Nov/2023:08:29:41 +0100] "GET /index.php?option=com_content&view=article&id=49&Itemid=55 HTTP/1.1" 200 7896 "http://almhuette-raith.at/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36" "-"
34.238.82.6 - - [02/Nov/2023:09:20:00 +0100] "GET /index.php?format=feed&type=rss HTTP/1.1" 200 3730 "https://www.google.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36" "-"
139.99.50.167 - - [02/Nov/2023:09:29:58 +0100] "GET /apache-log/access.log HTTP/1.1" 200 3475884 "http://www.almhuette-raith.at/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36" "-"
159.89.126.26 - - [02/Nov/2023:09:41:44 +0100] "GET / HTTP/1.1" 200 10439 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36" "-"
